date;valeur
2015-01;82.5
2015-02;83.05
2015-03;83.6
2015-04;83.7
2015-05;83.9
2015-06;83.84
2015-07;83.49
2015-08;83.76
2015-09;83.42
2015-10;83.47
2015-11;83.3
2015-12;83.49
2016-01;82.68
2016-02;82.89
2016-03;83.48
2016-04;83.54
2016-05;83.89
2016-06;84.0
2016-07;83.67
2016-08;83.95
2016-09;83.75
2016-10;83.77
2016-11;83.76
2016-12;84.01
2017-01;83.8
2017-02;83.89
2017-03;84.41
2017-04;84.49
2017-05;84.53
2017-06;84.54
2017-07;84.24
2017-08;84.69
2017-09;84.55
2017-10;84.63
2017-11;84.69
2017-12;84.93
2018-01;84.86
2018-02;84.83
2018-03;85.48
2018-04;85.62
2018-05;86.01
2018-06;86.03
2018-07;85.93
2018-08;86.36
2018-09;86.17
2018-10;86.27
2018-11;86.08
2018-12;86.1
2019-01;85.69
2019-02;85.74
2019-03;86.32
2019-04;86.6
2019-05;86.68
2019-06;86.9
2019-07;86.72
2019-08;87.13
2019-09;86.83
2019-10;86.79
2019-11;86.73
2019-12;87.12
2020-01;86.75
2020-02;86.74
2020-03;86.67
2020-04;86.64
2020-05;86.76
2020-06;86.83
2020-07;87.16
2020-08;87.08
2020-09;86.63
2020-10;86.59
2020-11;86.68
2020-12;86.88
2021-01;87.0
2021-02;87.0
2021-03;87.54
2021-04;87.63
2021-05;87.92
2021-06;88.04
2021-07;88.09
2021-08;88.64
2021-09;88.45
2021-10;88.82
2021-11;89.15
2021-12;89.33
2022-01;89.55
2022-02;90.25
2022-03;91.56
2022-04;91.96
2022-05;92.6
2022-06;93.31
2022-07;93.57
2022-08;94.0
2022-09;93.46
2022-10;94.45
2022-11;94.75
2022-12;94.66
2023-01;95.03
2023-02;96.03
2023-03;96.75
2023-04;97.32
2023-05;97.26
2023-06;97.44
2023-07;97.49
2023-08;98.48
2023-09;97.96
2023-10;98.1
2023-11;97.93
2023-12;98.06
2024-01;97.78
2024-02;98.61
2024-03;98.82
2024-04;99.33
2024-05;99.36
2024-06;99.43
2024-07;99.62
2024-08;100.16
2024-09;98.9
2024-10;99.18
2024-11;99.03
2024-12;99.22
2025-01;99.32
2025-02;99.33
2025-03;99.52
2025-04;100.09
2025-05;99.96
2025-06;100.35
2025-07;100.56
2025-08;100.99
2025-09;99.99
2025-10;100.06
2025-11;99.87
2025-12;99.95
